post_date,tags,score_sum,views,answers,favorites,comments,usage_cnt
"2017-05-17 00:00:00","<perl>","-7","384","6","2","16","3"
"2014-03-18 00:00:00","<perl>","-5","908","9","","7","5"
"2015-12-07 00:00:00","<perl>","1","562","10","1","21","6"
"2017-04-18 00:00:00","<perl>","-2","272","6","","13","4"
"2017-04-28 00:00:00","<perl>","11","459","7","2","7","5"
"2017-12-29 00:00:00","<rust>","2","144","3","","1","2"
"2012-06-12 00:00:00","<perl>","3","3300","10","","5","3"
"2009-10-27 00:00:00","<perl>","1","4136","5","1","2","1"
"2015-01-27 00:00:00","<rust>","24","3571","7","4","13","7"
"2016-07-28 00:00:00","<rust>","-1","146","1","","1","1"
"2009-12-24 00:00:00","<perl>","0","480","5","","5","1"
"2013-11-12 00:00:00","<perl>","16","3916","8","0","6","4"
"2017-11-27 00:00:00","<rust>","3","95","2","","0","1"
"2017-08-22 00:00:00","<perl>","-6","110","4","","4","2"
"2012-07-24 00:00:00","<perl>","0","1045","9","","4","3"
"2013-06-16 00:00:00","<perl>","24","2732","3","5","3","1"
"2014-02-14 00:00:00","<perl>","3","17290","5","","3","2"
"2017-02-03 00:00:00","<perl>","7","616","14","","17","6"
"2015-09-21 00:00:00","<perl>","-1","992","12","","31","10"
"2017-03-29 00:00:00","<fortran>","0","58","0","","5","2"
"2010-04-29 00:00:00","<perl>","8","234","2","","3","1"
"2012-06-13 00:00:00","<perl>","38","14002","21","7","7","7"
"2014-10-29 00:00:00","<perl>","2","106","4","","2","2"
"2011-03-05 00:00:00","<perl>","8","2694","3","2","11","2"
"2013-05-05 00:00:00","<perl>","-1","477","2","","4","2"
"2011-11-16 00:00:00","<perl>","7","3914","16","1","13","6"
"2009-11-03 00:00:00","<perl>","5","2685","9","2","4","3"
"2016-10-11 00:00:00","<fortran>","1","81","2","","2","1"
"2010-10-21 00:00:00","<perl>","0","1493","5","","2","3"
"2016-03-31 00:00:00","<fortran>","0","138","1","","10","1"
"2009-11-29 00:00:00","<pascal>","4","1935","5","1","1","1"
"2012-10-17 00:00:00","<perl>","1","7268","17","","23","8"
"2012-03-06 00:00:00","<perl>","1","325","3","","7","2"
"2016-01-01 00:00:00","<rust>","12","2455","1","","0","1"
"2017-12-08 00:00:00","<perl>","8","301","8","1","5","5"
"2016-03-17 00:00:00","<rust>","13","1473","5","","2","3"
"2016-01-20 00:00:00","<rust>","7","102","1","","0","1"
"2011-03-04 00:00:00","<perl>","17","2194","7","3","13","3"
"2011-04-30 00:00:00","<perl>","-3","504","1","","2","1"
"2014-11-06 00:00:00","<perl>","-3","20853","3","1","4","2"
"2017-04-17 00:00:00","<rust>","9","637","4","3","2","2"
"2017-11-07 00:00:00","<perl>","2","44","1","","0","1"
"2016-02-12 00:00:00","<fortran>","-1","47","1","","0","1"
"2009-05-29 00:00:00","<perl>","1","267","1","","1","1"
"2009-08-06 00:00:00","<perl>","57","86296","15","29","3","3"
"2014-01-28 00:00:00","<fortran>","3","282","3","0","1","1"
"2016-11-06 00:00:00","<rust>","6","627","5","","9","3"
"2012-05-28 00:00:00","<perl>","2","1927","2","2","2","1"
"2012-05-11 00:00:00","<perl>","13","11912","11","2","3","3"
"2011-01-14 00:00:00","<perl>","9","29516","6","8","0","1"
"2015-10-19 00:00:00","<fortran>","2","121","1","","0","1"
"2011-03-21 00:00:00","<perl>","0","1752","3","","5","1"
"2012-08-10 00:00:00","<perl>","1","905","13","","5","3"
"2010-11-23 00:00:00","<perl>","13","21892","5","2","0","2"
"2014-02-07 00:00:00","<perl>","1","1435","6","","23","6"
"2015-11-27 00:00:00","<perl>","0","96","2","","3","1"
"2016-07-17 00:00:00","<perl>","1","217","3","","18","3"
"2017-10-12 00:00:00","<perl>","1","48","1","","6","1"
"2017-02-22 00:00:00","<perl>","1","295","6","1","19","4"
"2015-02-17 00:00:00","<perl>","12","445","11","1","8","3"
"2016-12-29 00:00:00","<rust>","6","1077","9","0","1","4"
"2016-04-14 00:00:00","<rust>","3","505","2","","1","1"
"2014-09-21 00:00:00","<rust>","2","733","1","","0","1"
"2010-09-09 00:00:00","<pascal>","0","82","2","","3","1"
"2017-01-17 00:00:00","<pascal>","-1","116","1","","2","1"
"2009-11-11 00:00:00","<perl>","6","1682","9","3","8","2"
"2010-06-16 00:00:00","<perl>","7","4918","2","2","2","1"
