post_date,TagName,num_per_day
"2008-08-16 00:00:00","html","3"
"2013-12-27 00:00:00","c++","360"
"2017-07-29 00:00:00","c#","251"
"2016-09-05 00:00:00","java","655"
"2015-02-17 00:00:00","hadoop","28"
"2011-10-18 00:00:00","python","224"
"2009-10-18 00:00:00","sql","86"
"2017-05-25 00:00:00","sql","331"
"2011-01-31 00:00:00","perl","55"
"2009-10-07 00:00:00","scala","15"
"2017-05-14 00:00:00","scala","35"
"2016-07-01 00:00:00","ruby","117"
"2016-02-06 00:00:00","pascal","2"
"2012-10-05 00:00:00","r","75"
"2016-09-28 00:00:00","css","524"
"2009-11-05 00:00:00","c#","677"
"2012-07-27 00:00:00","fortran","3"
"2010-04-20 00:00:00","hadoop","3"
"2009-02-25 00:00:00","perl","17"
"2011-09-12 00:00:00","scala","32"
"2011-09-02 00:00:00","ruby","89"
"2017-02-17 00:00:00","go","25"
"2016-08-21 00:00:00","pascal","1"
"2013-09-24 00:00:00","r","91"
"2015-06-20 00:00:00","sql","118"
"2012-08-08 00:00:00","html","528"
"2017-12-21 00:00:00","html","469"
"2015-01-27 00:00:00","html","604"
"2015-03-01 00:00:00","jquery","322"
"2015-08-19 00:00:00","css","502"
"2009-07-10 00:00:00","javascript","138"
"2010-04-09 00:00:00","c++","212"
"2015-04-08 00:00:00","c","309"
"2017-08-29 00:00:00","fortran","5"
"2009-12-08 00:00:00","jquery","204"
"2009-01-16 00:00:00","r","1"
"2009-04-16 00:00:00","shell","7"
"2015-06-07 00:00:00","java","558"
"2012-12-17 00:00:00","java","944"
"2010-08-02 00:00:00","scala","9"
"2012-10-12 00:00:00","ruby","152"
"2015-04-02 00:00:00","ruby","124"
"2015-10-10 00:00:00","go","15"
"2016-03-08 00:00:00","html","688"
"2012-11-27 00:00:00","c","265"
"2016-10-27 00:00:00","javascript","1273"
"2013-09-18 00:00:00","html","709"
"2014-05-01 00:00:00","cobol","2"
"2009-01-10 00:00:00","c#","157"
"2010-01-03 00:00:00","c","94"
"2014-01-07 00:00:00","hadoop","28"
"2016-03-04 00:00:00","perl","42"
"2014-02-13 00:00:00","shell","64"
"2016-06-25 00:00:00","python","311"
"2010-08-08 00:00:00","javascript","130"
"2011-08-30 00:00:00","c++","402"
"2014-04-03 00:00:00","html","878"
"2011-06-12 00:00:00","jquery","226"
"2016-12-09 00:00:00","java","741"
"2014-07-25 00:00:00","scala","40"
"2015-04-12 00:00:00","rust","6"
"2017-09-30 00:00:00","rust","4"
"2009-06-26 00:00:00","vba","14"
"2012-05-20 00:00:00","vba","4"
"2011-08-27 00:00:00","python","99"
"2014-02-14 00:00:00","python","574"
"2010-11-25 00:00:00","delphi","17"
"2017-11-25 00:00:00","javascript","528"
"2017-12-31 00:00:00","c++","119"
"2011-07-08 00:00:00","c","146"
"2014-06-01 00:00:00","c","116"
"2015-06-07 00:00:00","javascript","605"
"2010-02-21 00:00:00","shell","2"
"2009-04-17 00:00:00","python","95"
"2009-03-18 00:00:00","java","221"
"2015-02-05 00:00:00","hadoop","25"
"2009-01-11 00:00:00","ruby","10"
"2014-05-26 00:00:00","ruby","125"
"2015-10-28 00:00:00","vba","86"
"2016-06-17 00:00:00","r","210"
"2010-07-29 00:00:00","css","128"
"2013-06-22 00:00:00","css","174"
"2012-01-24 00:00:00","delphi","16"
"2012-02-10 00:00:00","javascript","767"
"2015-05-02 00:00:00","html","390"
"2014-10-05 00:00:00","pascal","3"
"2013-11-22 00:00:00","vba","56"
"2015-02-26 00:00:00","r","150"
"2012-04-03 00:00:00","r","55"
"2009-09-14 00:00:00","delphi","45"
"2014-01-08 00:00:00","c++","494"
"2010-04-27 00:00:00","c","138"
"2016-07-05 00:00:00","javascript","1392"
"2011-06-07 00:00:00","hadoop","8"
"2010-05-11 00:00:00","scala","12"
"2016-11-23 00:00:00","rust","10"
"2009-11-23 00:00:00","r","16"
"2011-03-25 00:00:00","sql","168"
"2011-04-16 00:00:00","c","131"
"2012-06-19 00:00:00","c#","1008"
"2014-12-08 00:00:00","c#","640"
"2016-07-28 00:00:00","cobol","1"
"2009-06-04 00:00:00","php","221"
"2017-09-10 00:00:00","php","324"
"2012-01-30 00:00:00","sql","222"
"2013-12-06 00:00:00","perl","51"
"2016-11-07 00:00:00","go","16"
"2009-08-08 00:00:00","vba","5"
"2014-12-21 00:00:00","vba","14"
"2011-07-15 00:00:00","python","301"
"2017-06-13 00:00:00","sql","351"
"2016-10-17 00:00:00","css","394"
"2014-04-29 00:00:00","css","592"
"2013-09-06 00:00:00","delphi","24"
"2015-07-20 00:00:00","javascript","1247"
"2012-07-06 00:00:00","c++","389"
"2012-04-18 00:00:00","jquery","800"
"2016-12-26 00:00:00","ruby","72"
"2016-05-18 00:00:00","pascal","2"
"2010-02-21 00:00:00","vba","2"
"2015-03-14 00:00:00","shell","19"
"2017-08-31 00:00:00","jquery","458"
"2015-05-30 00:00:00","hadoop","16"
"2009-02-06 00:00:00","perl","19"
"2015-10-06 00:00:00","php","732"
"2014-05-03 00:00:00","scala","37"
"2014-02-01 00:00:00","ruby","92"
"2009-06-23 00:00:00","delphi","26"
"2011-12-12 00:00:00","delphi","39"
"2010-11-25 00:00:00","html","201"
"2010-02-23 00:00:00","javascript","273"
"2012-08-13 00:00:00","javascript","805"
"2015-07-08 00:00:00","javascript","1458"
"2015-10-05 00:00:00","scala","65"
"2011-04-27 00:00:00","r","33"
"2016-02-20 00:00:00","python","500"
"2013-05-15 00:00:00","html","615"
"2010-07-24 00:00:00","jquery","127"
"2011-03-16 00:00:00","hadoop","4"
"2013-09-03 00:00:00","hadoop","30"
"2016-04-04 00:00:00","perl","28"
"2013-05-11 00:00:00","perl","23"
"2014-12-23 00:00:00","javascript","952"
"2017-06-12 00:00:00","javascript","1058"
"2014-01-10 00:00:00","fortran","8"
"2017-08-28 00:00:00","r","196"
"2010-08-06 00:00:00","shell","27"
"2010-07-22 00:00:00","delphi","38"
"2009-04-03 00:00:00","c#","426"
"2011-02-01 00:00:00","cobol","1"
"2015-08-24 00:00:00","fortran","7"
"2017-06-09 00:00:00","jquery","504"
"2008-11-12 00:00:00","java","157"
"2012-04-13 00:00:00","hadoop","5"
"2017-05-03 00:00:00","perl","34"
"2014-08-28 00:00:00","swift","77"
"2012-12-15 00:00:00","shell","7"
"2008-11-29 00:00:00","sql","35"
"2008-08-16 00:00:00","delphi","3"
"2008-11-02 00:00:00","css","15"
"2011-09-27 00:00:00","css","278"
"2009-12-04 00:00:00","c++","303"
"2010-11-22 00:00:00","c","184"
"2016-05-06 00:00:00","cobol","3"
"2010-06-20 00:00:00","r","6"
"2012-05-21 00:00:00","python","306"
"2015-04-15 00:00:00","python","663"
"2012-10-28 00:00:00","c++","262"
"2012-04-21 00:00:00","java","482"
"2014-08-11 00:00:00","go","17"
"2016-06-10 00:00:00","rust","6"
"2012-09-23 00:00:00","vba","7"
"2015-03-14 00:00:00","vba","46"
"2016-07-26 00:00:00","css","476"
"2015-12-16 00:00:00","html","723"
"2009-02-26 00:00:00","c","62"
"2013-09-04 00:00:00","c++","483"
"2015-10-27 00:00:00","c#","733"
"2008-12-20 00:00:00","php","25"
"2008-09-24 00:00:00","r","3"
"2011-08-19 00:00:00","r","35"
"2016-06-13 00:00:00","python","684"
"2015-06-08 00:00:00","sql","305"
"2010-01-24 00:00:00","sql","70"
"2012-10-18 00:00:00","delphi","33"
"2013-02-16 00:00:00","css","240"
"2015-09-12 00:00:00","delphi","11"
"2011-10-07 00:00:00","javascript","595"
"2011-06-10 00:00:00","fortran","1"
"2013-10-24 00:00:00","java","1372"
"2014-11-17 00:00:00","php","741"
"2017-05-02 00:00:00","scala","53"
"2013-02-22 00:00:00","go","8"
"2017-07-09 00:00:00","rust","5"
"2013-03-08 00:00:00","shell","51"
"2017-06-19 00:00:00","html","573"
"2008-12-10 00:00:00","c#","266"
"2010-08-31 00:00:00","c","134"
"2011-05-26 00:00:00","cobol","2"
"2011-11-04 00:00:00","c#","828"
"2009-06-25 00:00:00","jquery","105"
"2015-02-28 00:00:00","rust","12"
"2011-12-14 00:00:00","jquery","744"
"2014-11-07 00:00:00","jquery","661"
